Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Animal feed form (product.metafields.shopify.animal-feed-form),Boot style (product.metafields.shopify.boot-style),Boot type (product.metafields.shopify.boot-type),Chicken feed stage (product.metafields.shopify.chicken-feed-stage),Closure type (product.metafields.shopify.closure-type),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Construction (product.metafields.shopify.construction),Embellishment/Trim material (product.metafields.shopify.embellishment-trim-material),Fabric (product.metafields.shopify.fabric),Footwear material (product.metafields.shopify.footwear-material),Handwear material (product.metafields.shopify.handwear-material),Heel height type (product.metafields.shopify.heel-height-type),Horse category (product.metafields.shopify.horse-category),Ingredient category (product.metafields.shopify.ingredient-category),Livestock food ingredients (product.metafields.shopify.livestock-food-ingredients),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Occasion style (product.metafields.shopify.occasion-style),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Package type (product.metafields.shopify.package-type),Pet food flavor (product.metafields.shopify.pet-food-flavor),Pet food form (product.metafields.shopify.pet-food-form),Shoe features (product.metafields.shopify.shoe-features),Shoe fit (product.metafields.shopify.shoe-fit),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Toe style (product.metafields.shopify.toe-style),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Status
horslyx-mobility,Horslyx Mobility,"<div>
<p>Horslyx Mobility Balancer can be used to help maintain healthy joints in all horses, of all ages and breeds, whether for a performance horse that requires support for hard working joints, or as an aid for older horses that may have suffered from wear and tear over the years. Independent research was conducted at the University of Central Lancashire using 6 Thoroughbred horses based at the Thoroughbred Rehabilitation Centre. This independent university research clearly demonstrated that Mobility Balancer can help reduce joint stiffness in otherwise clinically sound horses and when used regularly will help maintain healthy supple joints and allow mobility and flexibility for comfortable movement. Details on the research can be found here. As with all Horslyx Balancers, Mobility Balancer is extremely low in starch, making it suitable for horses which can react unfavourably to traditional cereal based diets.</p>
</div>",Scarterfield,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Boots & Leg Wraps,treats,feed,true,Title,Default Title,,,,,,,,,0.0,manual,5.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0978/5638/9495/files/HorslyxMobility.jpg?v=1788795061,1,,false,Horslyx Mobility | New Forest Country Store,A palatable balancer lick combining vitamins and minerals with targeted support for joints and mobility. UK delivery available.,5569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
baileys-tasty-treats-5kg-refil-bag,Baileys Tasty Treats 5kg REFIL BAG,"<p>Irresistible, healthy, high fibre treats for any horse or pony who deserves a tasty reward.</p>
<ul>
<li>A handy reward during training and schooling.</li>
<li>Ideal for carrot stretches and other in-hand exercises.</li>
<li>High in fibre.</li>
</ul>
<p>Supplied as a 5kg refill bag.</p>",New Forest Country Store,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Treats,treats,"feed, local-delivery-only, treats",true,Title,Default Title,,,,,,,,,0.0,manual,7.00,,true,true,,,,,,,,,false,Baileys Tasty Treats 5kg Refill BAG | New Forest Country Store,"Irresistible, healthy, high fibre treats targeted at any horse or pony who deserves a tasty treat! Local delivery across the New Forest.",7481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
thunderbrook-daily-care-6kg,Thunderbrook Daily Care 6kg,"<p><strong>Thunderbrook Daily Care</strong> provides the core nutrients your horse needs every day – vitamins, minerals and trace elements in a small, easy portion. Formulated with natural fibre and gentle digestive support, it’s an effortless way to balance a forage diet, without extra calories or additives.</p>
<ul>
<li>Small feed, big impact – complete daily vitamins and minerals in just a handful.</li>
<li>Gentle and natural – forage-based pellets with prebiotic digestive support, no molasses.</li>
<li>Easy for every horse – palatable pellets, fed dry or soaked, ideal for good doers and fussy eaters.</li>
</ul>
<p> </p>",Thunderbrook,Sporting Goods > Outdoor Recreation > Equestrian > Horse Care > Horse Vitamins & Supplements,Feed,"horse feed, local-delivery-only",true,Title,Default Title,,,,,,,,,0.0,manual,36.00,,true,true,,,,,,,,,false,Thunderbrook Daily Care 6kg | New Forest Country Store,Thunderbrook Daily Care provides the core nutrients your horse needs every day. Local delivery across the New Forest.,7459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
crafty-ponies-keyring,Crafty Ponies Keyring,"<p><meta charset=""utf-8""><span>Crafty Ponies key rings are super cute at only 7cm tall.</span></p>",Crafty Pony,Toys & Games > Toys,Toy,Crafty Pony,true,Colour,Bay,,,,,,,,,0.0,manual,4.50,,true,true,,,,,CRAFPONYKEYBAY,https://cdn.shopify.com/s/files/1/0978/5638/9495/files/KeyringsBay.jpg?v=1787824878,1,,false,Crafty Ponies Keyring | New Forest Country Store,"A cute 7cm Crafty Ponies key ring - a pocket-sized gift for pony-mad riders to clip to bags, zips and tack lockers. UK delivery available.",6898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
crafty-ponies-keyring,,,,,,,,,Black,,,,,,,,,0.0,manual,4.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0978/5638/9495/files/KeyringsBlack.jpg?v=1787824877,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,
crafty-ponies-keyring,,,,,,,,,Palamino,,,,,,,,,0.0,manual,4.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0978/5638/9495/files/KeyringsPalomino.jpg?v=1787824878,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,
crafty-ponies-keyring,,,,,,,,,White,,,,,,,,,0.0,manual,4.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0978/5638/9495/files/KeyringsWhite.jpg?v=1787824878,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,
crafty-pony-foal,Crafty Ponies Foal,"<p>Crafty Ponies Foals have arrived to the stable yard! </p>
<p>These cute, plush foals are the perfect addition to your Crafty Pony collection</p>
<p><strong>Please note</strong> - General  Crafty Ponies accessories do not fit the Crafty Ponies foal. Only foal accessories will fit onto the foal.</p>",Crafty Pony,Toys & Games > Toys,Toy,Crafty Pony,true,Colour,Grey,,,,,,,,,0.0,manual,15.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0978/5638/9495/files/CraftyPoniesFoalGrey.jpg?v=1787821052,1,,false,Crafty Ponies Foal | New Forest Country Store,"Crafty ponies Foals have arrived to the stable yard! These cute, plush foals are the perfect addition to your Crafty pony collection. UK delivery available.",6898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
crafty-pony-foal,,,,,,,,,Chestnut,,,,,,,,,0.0,manual,15.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0978/5638/9495/files/CraftyPoniesFoalChestnut.jpg?v=1787821069,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,
crafty-pony-foal,,,,,,,,,Bay,,,,,,,,,0.0,manual,15.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0978/5638/9495/files/CraftyPoniesFoalBay.jpg?v=1787821088,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,
